date,keyword,country_code,interest_score,z_score
2020-07-01,tarjeta virtual,PE,28,-0.917130375828124
2020-08-01,Plin,CL,49,0.0731128905949832
2020-08-01,Yape,CL,10,-1.15799669258224
2020-08-01,criptomonedas,CL,18,-0.703376479884259
2020-08-01,fintech,CL,35,-0.773623061306732
2020-08-01,tarjeta virtual,CL,100,3.5169847321662
2020-08-01,Plin,CO,65,0.574276033919585
2020-08-01,billetera digital,CO,12,-0.956963574876225
2020-08-01,criptomonedas,CO,16,-0.726345541829365
2020-08-01,fintech,CO,45,-0.872696148528105
2020-08-01,Plin,MX,40,-0.0620054344571668
2020-08-01,Yape,MX,16,-0.908163210673522
2020-08-01,criptomonedas,MX,21,-0.768449885006562
2020-08-01,fintech,MX,74,0.228218756476312
2020-08-01,neobanco,MX,55,-0.752857461707688
2020-08-01,pagos digitales,MX,33,-0.816890907263384
2020-08-01,tarjeta virtual,MX,58,-0.686439363067552
2020-08-01,Plin,PE,31,-0.3240059473281
2020-08-01,Yape,PE,28,-0.616534267433474
2020-08-01,criptomonedas,PE,23,-0.686987409199024
2020-08-01,fintech,PE,59,-0.775428894483124
2020-08-01,tarjeta virtual,PE,34,-0.676589594622903
2020-09-01,Plin,CL,53,0.260384505101432
2020-09-01,Yape,CL,12,-1.0631607565518
2020-09-01,criptomonedas,CL,16,-0.79605966225168
2020-09-01,fintech,CL,37,-0.673490998407101
2020-09-01,tarjeta virtual,CL,85,2.57792150814231
2020-09-01,Plin,CO,71,0.834124074060885
2020-09-01,Yape,CO,13,-0.834240671707991
2020-09-01,criptomonedas,CO,15,-0.778533754972617
2020-09-01,fintech,CO,49,-0.543886760953645
2020-09-01,Plin,MX,48,0.307496338226359
2020-09-01,criptomonedas,MX,18,-0.915943771786962
2020-09-01,fintech,MX,69,-0.166567244063279
2020-09-01,pagos digitales,MX,25,-1.25336326759441
2020-09-01,tarjeta virtual,MX,56,-0.799682467031238
2020-09-01,Plin,PE,28,-0.476931168157526
2020-09-01,Yape,PE,23,-0.787533513340174
